Altium Designer Pick and Place Locations
D:\K_drive\Serveur\R&D\Bureau d'étude\ST\STM01 - I-NOVMICRO\3 - Fabrication\1 - Electronique\Fab Carte\VerB1\Pick and Place\Pick Place\STE01-Carte_Education_VerB1-Pick_and_Place-safe.txt

========================================================================================================================
File Design Information:

Date:       20/09/24
Time:       12:04
Revision:   Not in VersionControl
Variant:    Variant of STE01-Carte_Education-VerB_No_Bosh_sensor
Units used: mm

Designator Comment                Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation         Description                                                                                                     
R17        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -18.1273     8.6958       360              "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R16        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -18.1000     4.1000       360              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R15        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -19.2410     2.4130       180              "RES CMS 4,7K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R14        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -10.2000     14.6000      135              "RES CMS 1,6K1%-0,1W-0402 ±100ppm/°C"                                                                           
R13        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -13.5647     19.1853      225              "RES CMS 1,6K1%-0,1W-0402 ±100ppm/°C"                                                                           
R12        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -10.8000     13.8000      135              "RES CMS 10K1%-0,0625W-0402 ±100ppm/°C"                                                                         
R11        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -12.2707     12.9000      135              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R10        "#Circular Reference?" BottomLayer RESC1005X40N_0402          -10.9529     18.1550      225              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R9         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -8.0853      17.7895      225              NI                                                                                                              
R8         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -5.9000      17.2000      315              "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R6         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -15.3000     13.1000      135              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R5         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -3.2500      24.9795      195              "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
R4         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -18.2000     13.6000      135              "RES CMS 0R5%-0,0625W-0402"                                                                                     
R3         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -17.0000     13.7500      135              NI                                                                                                              
R2         "#Circular Reference?" BottomLayer RESC1005X40N_0402          -10.2500     17.5000      45               "RES CMS 100K5%-0,0625W-0402 ±100ppm/°C"                                                                        
L4         "#Circular Reference?" BottomLayer LQM21_SERIES               13.2000      13.2000      360              "Fixed Inductor 10µH µH ± 20% 0,1A 0805"                                                                        
J9         "#Circular Reference?" BottomLayer FTS-103-01-F-S             -19.4119     -45.4000     270              "CONN HEADER VERT 3POS 1.27MM"                                                                                  
FB2        "#Circular Reference?" BottomLayer BEADC1608X75N              -19.2645     -2.5442      180              "Chip Ferrite Bead 330 ohm à 100MHZ"                                                                            
FB1        "#Circular Reference?" BottomLayer INDC1608X80N               -9.9000      22.8000      180              "Chip Ferrite Bead 300 ohm à 100MHZ"                                                                            
F1         "#Circular Reference?" TopLayer    FUSM16081X45               -1.2000      8.6000       90               "Fusible 50V 1,25 A Slow blow"                                                                                  
D21        "#Circular Reference?" BottomLayer SODFL1608X70N              -16.4491     -47.3100     270              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D20        "#Circular Reference?" BottomLayer SODFL1608X70N              -16.4578     -44.7400     90               "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D19        "#Circular Reference?" BottomLayer SODFL1608X70N              -20.6000     -36.7654     90               "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D18        "#Circular Reference?" TopLayer    SODFL1608X70N              -18.7400     -34.5000     360              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D17        "#Circular Reference?" TopLayer    SODFL1608X70N              -18.7400     -33.2000     360              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D16        "#Circular Reference?" TopLayer    SODFL1608X70N              -18.7400     -31.9463     360              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D15        "#Circular Reference?" BottomLayer SOD3615X145N_SOD123        8.5500       -10.5000     270              "Diode Schottky 30 V 1A Montage en surface SOD-123"                                                             
D14        "#Circular Reference?" TopLayer    SODFL1608X70N              -22.6701     -0.3349      90               "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D13        "#Circular Reference?" BottomLayer DFN100X60X45-2N            -19.7232     -3.7000      360              "ESD Suppressors / TVS Diodes Transient Voltage Suppressor PP"                                                  
D12        "#Circular Reference?" BottomLayer SODFL1608X70N              -10.4146     -4.2600      270              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D11        "#Circular Reference?" BottomLayer SODFL1608X70N              17.8200      -49.8000     360              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D10        "#Circular Reference?" BottomLayer DFN100X60X45-2N            -15.7691     -11.4681     300              "ESD Suppressors / TVS Diodes Transient Voltage Suppressor PP"                                                  
D9         "#Circular Reference?" BottomLayer SODFL1608X70N              2.5300       -49.8000     180              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D8         "#Circular Reference?" BottomLayer SODFL1608X70N              5.1200       -48.4000     360              "Suppresseurs ESD / diodes TVS LOW CAP SNAPBACK ESD PROT"                                                       
D7         "#Circular Reference?" BottomLayer SOD3615X145N_SOD123        -6.3000      -11.2000     90               "Diode Schottky 30 V 1A Montage en surface SOD-123"                                                             
D6         "#Circular Reference?" TopLayer    SOD3615X145N_SOD123        3.3000       5.9000       360              "Diode Schottky 30 V 1A Montage en surface SOD-123"                                                             
D5         "#Circular Reference?" TopLayer    SOD3615X145N_SOD123        3.2800       3.9676       180              "Diode Schottky 30 V 1A Montage en surface SOD-123"                                                             
D4         "#Circular Reference?" TopLayer    DFN100X60X45-2N            -9.2000      9.8500       90               "ESD Suppressors / TVS Diodes Transient Voltage Suppressor PP"                                                  
D3         "#Circular Reference?" TopLayer    SODFL3516X120N             -15.3484     -2.1425      90               "Diode Schottky 40 V 1A Montage en surface SOD-123"                                                             
D2         "#Circular Reference?" TopLayer    DFN100X60X45-2N            -1.7000      6.3000       270              "ESD Suppressors / TVS Diodes Transient Voltage Suppressor PP"                                                  
C82        "#Circular Reference?" BottomLayer 0402-CAP                   -6.7407      -31.4000     180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C81        "#Circular Reference?" BottomLayer 0402-CAP                   -13.1392     -18.7197     360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C80        "#Circular Reference?" BottomLayer 0402-CAP                   -13.2000     -19.7000     360              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C79        "#Circular Reference?" BottomLayer 0402-CAP                   -7.8000      -20.0000     180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C78        "#Circular Reference?" BottomLayer 0402-CAP                   -11.0000     -16.1000     180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C77        "#Circular Reference?" BottomLayer 0402-CAP                   -11.0000     -15.0960     180              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C75        "#Circular Reference?" BottomLayer 0402-CAP                   -13.4000     -33.7000     360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C74        "#Circular Reference?" BottomLayer 0402-CAP                   10.7600      -38.6969     360              "CAP CER 22pF 16V COG 0402"                                                                                     
C73        "#Circular Reference?" BottomLayer 0402-CAP                   9.4370       -34.4828     180              "CAP CER 22pF 16V COG 0402"                                                                                     
C72        "#Circular Reference?" BottomLayer 0402-CAP                   -6.3157      -34.6150     360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C71        "#Circular Reference?" BottomLayer 0402-CAP                   5.3218       -32.1000     270              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C70        "#Circular Reference?" BottomLayer 0402-CAP                   7.4800       -39.5500     180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C69        "#Circular Reference?" BottomLayer 0402-CAP                   -4.4526      -42.9346     90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C64        "#Circular Reference?" TopLayer    0402-CAP                   11.6000      20.9769      233              "CAP CER 10µF 6,3V X5R 0402"                                                                                    
C63        "#Circular Reference?" TopLayer    0402-CAP                   10.5973      21.1231      233              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C62        "#Circular Reference?" BottomLayer 0402-CAP                   14.8000      18.8000      90               "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C58        "#Circular Reference?" BottomLayer 0402-CAP                   2.0848       -21.0599     270              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C57        "#Circular Reference?" BottomLayer 0402-CAP                   20.6000      9.4200       360              "CAP CER 4,7µF 6,3V X5R 0402"                                                                                   
C54        "#Circular Reference?" TopLayer    0402-CAP                   21.7000      2.4000       90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C53        "#Circular Reference?" BottomLayer 0603-CAP-Small             3.1750       2.2295       360              "CAP CER 220nF 6,3V X7R 0603"                                                                                   
C52        "#Circular Reference?" BottomLayer 0402-CAP                   4.5659       -2.5045      180              "CAP CER 10µF 6,3V X5R 0402"                                                                                    
C51        "#Circular Reference?" BottomLayer 0402-CAP                   5.5400       -1.2000      180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C50        "#Circular Reference?" BottomLayer 0402-CAP                   5.5400       -0.4000      180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C49        "#Circular Reference?" BottomLayer 0402-CAP                   -4.1910      3.1750       270              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C48        "#Circular Reference?" BottomLayer 0402-CAP                   -3.3020      3.1750       270              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C47        "#Circular Reference?" TopLayer    0402-CAP                   -3.8100      -6.4000      180              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C46        "#Circular Reference?" TopLayer    0402-CAP                   -3.8100      -5.3000      180              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C45        "#Circular Reference?" TopLayer    0402-CAP                   -5.1000      -5.2000      270              "CAP CER 4,7µF 16V X5R 0402"                                                                                    
C44        "#Circular Reference?" TopLayer    0402-CAP                   -6.0000      -5.1978      270              "CAP CER 4,7µF 16V X5R 0402"                                                                                    
C43        "#Circular Reference?" BottomLayer 0402-CAP                   14.5000      -1.5000      90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C42        "#Circular Reference?" BottomLayer 0402-CAP                   -17.2423     -3.6881      360              "CAP CER 33pF 16V COG 0402"                                                                                     
C41        "#Circular Reference?" TopLayer    0402-CAP                   16.8000      -41.0000     135              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C40        "#Circular Reference?" TopLayer    0402-CAP                   12.8000      -45.0000     135              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C39        "#Circular Reference?" TopLayer    0402-CAP                   -2.8000      -45.8000     90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C38        "#Circular Reference?" TopLayer    0402-CAP                   -10.9000     -45.5000     90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C37        "#Circular Reference?" TopLayer    0402-CAP                   -8.9248      -43.5000     90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C36        "#Circular Reference?" TopLayer    0402-CAP                   -19.1000     -42.8000     360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C35        "#Circular Reference?" TopLayer    0402-CAP                   -13.6000     -32.8000     225              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C34        "#Circular Reference?" BottomLayer 0402-CAP                   13.6000      14.4000      180              "CAP CER 4,7µF 6,3V X5R 0402"                                                                                   
C33        "#Circular Reference?" TopLayer    0402-CAP                   6.5000       11.8000      360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C32        "#Circular Reference?" TopLayer    0402-CAP                   6.5000       12.6000      360              "CAP CER 4,7µF 6,3V X5R 0402"                                                                                   
C31        "#Circular Reference?" BottomLayer 0402-CAP                   -3.0400      6.2000       360              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C30        "#Circular Reference?" BottomLayer 0402-CAP                   0.7000       6.9000       180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C29        "#Circular Reference?" BottomLayer 0402-CAP                   -2.1000      8.6000       360              "CAP CER 15pF 10V C0G 0402"                                                                                     
C28        "#Circular Reference?" BottomLayer 0402-CAP                   -2.1000      10.0000      360              "CAP CER 15pF 10V C0G 0402"                                                                                     
C27        "#Circular Reference?" BottomLayer 0402-CAP                   11.6797      20.3013      270              "CAP CER 15pF 10V C0G 0402"                                                                                     
C26        "#Circular Reference?" BottomLayer 0402-CAP                   15.1328      17.4685      180              "CAP CER 15pF 10V C0G 0402"                                                                                     
C25        "#Circular Reference?" TopLayer    0402-CAP                   6.7000       10.4000      90               "CAP CER 4,7µF 6,3V X5R 0402"                                                                                   
C24        "#Circular Reference?" TopLayer    0402-CAP                   7.5000       10.4000      90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C23        "#Circular Reference?" TopLayer    0402-CAP                   8.3000       10.4000      90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C22        "#Circular Reference?" TopLayer    0402-CAP                   5.2000       8.0000       360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C21        "#Circular Reference?" TopLayer    0402-CAP                   2.8400       8.9000       180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C20        "#Circular Reference?" TopLayer    0402-CAP                   2.8400       9.7000       180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C19        "#Circular Reference?" TopLayer    0402-CAP                   6.4600       14.3147      90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C18        "#Circular Reference?" TopLayer    0402-CAP                   5.6000       14.3148      90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C17        "#Circular Reference?" TopLayer    DSK3R3H204T614             12.9000      0.0000       360              "CAP CER 200mF 3,3V Supercap 6,8X11,7x1,8"                                                                      
C16        "#Circular Reference?" TopLayer    0402-CAP                   0.8000       7.1000       360              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C15        "#Circular Reference?" TopLayer    0402-CAP                   8.5644       13.3039      270              "CAP CER 100pF 10V X7R 0402"                                                                                    
C14        "#Circular Reference?" TopLayer    0402-CAP                   7.7098       13.8000      270              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C13        "#Circular Reference?" TopLayer    0402-CAP                   0.1000       13.4000      270              "CAP CER 10nF 10V X7R 0402"                                                                                     
C12        "#Circular Reference?" TopLayer    0402-CAP                   -0.7000      13.4000      90               "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C11        "#Circular Reference?" TopLayer    0402-CAP                   -1.5000      13.4000      90               "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C10        "#Circular Reference?" TopLayer    0402-CAP                   13.2217      -21.2000     270              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C9         "#Circular Reference?" TopLayer    0402-CAP                   12.4217      -21.2000     270              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C8         "#Circular Reference?" TopLayer    0402-CAP                   -9.6000      1.4900       270              "CAP CER 10µF 6,3V X5R 0402"                                                                                    
C7         "#Circular Reference?" TopLayer    CAPC3225X55N_1210_-_TANTAL -11.7293     -7.8250      270              "CAP CER 15µF 25V TANT 1210"                                                                                    
C6         "#Circular Reference?" TopLayer    0402-CAP                   -13.6570     -4.8260      180              "CAP CER 470pF 25V X7R 0402"                                                                                    
C5         "#Circular Reference?" TopLayer    0402-CAP                   -7.3000      3.4000       180              "CAP CER 100nF 6,3V X5R 0402"                                                                                   
C4         "#Circular Reference?" TopLayer    0402-CAP                   -10.1642     9.7900       270              "CAP CER 10µF 6,3V X5R 0402"                                                                                    
C3         "#Circular Reference?" TopLayer    0603-CAP                   -3.4000      6.8000       360              "CAP CER 47µF 4V X5R 0603"                                                                                      
C2         "#Circular Reference?" BottomLayer 0402-CAP                   -16.3650     6.2000       180              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
C1         "#Circular Reference?" BottomLayer 0402-CAP                   -21.5056     3.3000       180              "CAP CER 1µF 6,3V X5R 0402"                                                                                     
J6         "#Circular Reference?" TopLayer    JACDAC_FOOTPRINT           26.2330      0.0000       270              "PCB connector Jackdac"                                                                                         
J5         "#Circular Reference?" TopLayer    JACDAC_FOOTPRINT           -26.2325     0.0000       90               "PCB connector Jackdac"                                                                                         
TP17       PAD                    TopLayer    PAD_SHORT_ALIGATOR         19.7990      19.7990      315              Pad_short_aligator                                                                                              
TP16       PAD                    TopLayer    PAD_SHORT_ALIGATOR         -15.0444     23.6149      32               Pad_short_aligator                                                                                              
TP15       PAD                    TopLayer    PAD_SHORT_ALIGATOR         15.0444      23.6149      327,5            Pad_short_aligator                                                                                              
TP14       PAD                    TopLayer    PAD_SHORT_ALIGATOR         -26.3113     9.5765       70               Pad_short_aligator                                                                                              
TP13       PAD                    TopLayer    PAD_SHORT_ALIGATOR         26.3113      9.5765       290              Pad_short_aligator                                                                                              
TP12       PAD                    TopLayer    PAD_SHORT_ALIGATOR         -23.6149     15.0444      57,5             Pad_short_aligator                                                                                              
TP10       PAD                    TopLayer    PAD_SHORT_ALIGATOR         23.6149      15.0444      302,5            Pad_short_aligator                                                                                              
TP11       PAD                    TopLayer    PAD_SHORT_ALIGATOR         -19.7990     19.7990      45               Pad_short_aligator                                                                                              
U20        "#Circular Reference?" BottomLayer SON127P600X500X80-9N       -11.4000     -29.3000     360              "FLASH - NOR Mémoire IC 64Mb (8M x 8) SPI - I/O quadruple, QPI, DTR 133MHz 6ns 8-WSON (6x5)"                    
U19        "#Circular Reference?" BottomLayer SOT95P280X100-5N_SOT-23    -10.4900     -18.2700     360              "PMIC - Régulateurs de tension - Linéaires Positif Fixe 1 Sortie  150mA SOT-23-5"                               
U17        "#Circular Reference?" BottomLayer QFP50P900X900X160-48N      0.0000       -38.3000     180              "ARM® Cortex®-M3 STM32F1 Microcontrôleurs IC 32-Bit 72MHz 128Ko (128K x 8) FLASH"                               
U15        "#Circular Reference?" TopLayer    APDS-9960                  13.3000      18.6147      233,837520599365 "Capteurs optiques Ambiant 560nm I²C Module 8-SMD"                                                              
U12        "#Circular Reference?" TopLayer    2511020213301              18.9556      12.3061      302,999996185303 "Capteur de pression 3,77PSI ~ 18,27PSI (26kPa ~ 126kPa) Absolu  24 b 10-WFLGA"                                 
U11        "#Circular Reference?" TopLayer    VL53L1X                    21.7469      7.3713       199,000001907349 "SENSOR OPTICAL 4M I2C"                                                                                         
U10        "#Circular Reference?" BottomLayer LGA-14-2.5X3MM             -2.5000      0.0000       270              "Accéléromètre, gyroscope, température, 6 axes Anturi I²C, SPI Sortie"                                          
U9         "#Circular Reference?" BottomLayer LGA-12-2x2MM               2.5000       0.0000       360              "magnétorésistif Capteur X, Y, Z axe 12-LGA (2x2)"                                                              
U8         "#Circular Reference?" BottomLayer QFN50P300X300X100-17N-D    18.8135      -0.6665      360              "Interface - Extensions d'E/S 8B I/O Expander I2C interface"                                                    
U7         "#Circular Reference?" BottomLayer MLPFWB5501E3               7.3500       17.7270      180,045829772949 "Centre 2,45GHz fréquence Passe-bas Filtres RF (Fréquence radio) 100MHz Bande passante 1,1dB 6-SMD, sans plomb" 
U6         "#Circular Reference?" BottomLayer QFN40P800X800X100-69N-D    5.6000       11.8200      360              "MCU 32bit, STM32WB55RX-M4, 256 Kb to 1Mb Flash 128 to 256kB SRAM 64MHz Bluetooth 5.2, VFQFPN68"                
U5         "#Circular Reference?" TopLayer    IMP34DT05                  16.0217      -20.3750     270              "MEMS audio sensor omnidirectional digital microphone dor industrial application"                               
U4         "#Circular Reference?" TopLayer    SOT95P270X145-5N           -12.1000     -1.7364      360              "Simple Switcher 24Vout 2,1A Step-Up SOT-23"                                                                    
U3         "#Circular Reference?" TopLayer    VSON-10                    -6.4817      6.0147       180              "High Efficient single inductor buck-boost converter with 1,8-A switches ajustable"                             
T3         "#Circular Reference?" BottomLayer SOT23-B-C-E                -14.5840     -23.6398     90               "Transistors bipolaires - BJT SS SOT23 NPN 40V"                                                                 
T1         "#Circular Reference?" BottomLayer SOT95P260X110-3N_SOT-23-3  -6.8936      15.2893      225              "Small-Signal-Transitor MOSFET N"                                                                               
SW5        "#Circular Reference?" TopLayer    PTS647SM38SMTR2LFS         14.5000      -36.5000     135              "Interrupteurs de contact 50mA 12VDC, 1.8N 3.8mm H, G leads"                                                    
SW4        "#Circular Reference?" TopLayer    PTS647SM38SMTR2LFS         10.5000      -40.5000     135              "Interrupteurs de contact 50mA 12VDC, 1.8N 3.8mm H, G leads"                                                    
SW3        "#Circular Reference?" TopLayer    PTS647SM38SMTR2LFS         0.0000       -40.5000     90               "Interrupteurs de contact 50mA 12VDC, 1.8N 3.8mm H, G leads"                                                    
SW2        "#Circular Reference?" TopLayer    SKRHABE010                 -13.5000     -40.5000     315              "4-direction type with center-push function"                                                                    
SW1        "#Circular Reference?" BottomLayer PTS636SM25FSMTRLFS         -10.0000     -10.5000     270              "Surface Mounting Switch"                                                                                       
LS1        "#Circular Reference?" BottomLayer XDCR_SMT-0825-S-HT-R       0.0000       -10.5000     180,000007629395 "Speakers & Transducers SURFACE MOUNT TRANSDUCER 3.6 VP-P"                                                      
LED7       "#Circular Reference?" TopLayer    150505M173300              0.0000       -32.0000     0                "DEL standard - CMS WL-SFTW SMD TOP SMD 5050 RGB"                                                               
LED5       "#Circular Reference?" TopLayer    KPHBM2012QBDCGKC           -6.4633      22.5867      105,968635559082 "LED BI Green Red 2mm x 1,25mm SMD"                                                                             
LED4       "#Circular Reference?" TopLayer    APTD1608LZGCK              13.2345      -29.4181     270              "LED GREEN 2V 20mA 0603 SMD"                                                                                    
LED3       "#Circular Reference?" TopLayer    APTD1608LZGCK              12.0345      -29.4181     270              "DEL standard - CMS WL-SMCW SMDMono TpVw Waterclr 0603 Blue"                                                    
LED2       "#Circular Reference?" TopLayer    APTD1608LZGCK              -9.1822      21.6318      293              "DEL standard - CMS WL-SMCW SMDMono TpVw Waterclr 0603 RED"                                                     
L2         "#Circular Reference?" TopLayer    VLS3012                    -6.5000      10.0000      0                "Fixed Inductor 10µH ± 20% 1,4A 3x3x1,2mm"                                                                      
L1         "#Circular Reference?" BottomLayer WE-CNSW_06038              -5.0295      19.6944      15,5             "Common mode chokes"                                                                                            
J7         "#Circular Reference?" TopLayer    52435-2471                 0.0000       -8.5375      360              "FFC/FPC connector 0,50 Pitch Slider Right angle TOP Contact"                                                   
J4         "#Circular Reference?" BottomLayer JST_S4B-PH-SM4-TB          -22.2510     -13.5392     119,999984741211 "Connecteur, embase Montage en surface à angle droit 4 positions (2,00mm)"                                      
J3         "#Circular Reference?" BottomLayer JST_S4B-PH-SM4-TB          22.2506      -13.5392     240,000001907349 "Connecteur, embase Montage en surface à angle droit 4 positions (2,00mm)"                                      
J2         "#Circular Reference?" BottomLayer USB3080-30-00-A            -6.7839      27.0322      13,9088897705078 "Connector micro USB Bottom-SMT No Peg"                                                                         
D1         "#Circular Reference?" BottomLayer WE-TVS_SOT23-6L            -6.0000      22.6210      286,05955505371  "Suppresseurs ESD / diodes TVS WE-TVS High Speed 5uA 5VDC 4+1"                                                  
